URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://sns.gob.es/fhir/tsi/CodeSystem/aseguradorasCS,1.0.0,draft,,AseguradorasCS,CodeSystem Aseguradoras,"CodeSystem Aseguradoras","ValueSet/aseguradorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/colaboradorasCS,1.0.0,draft,,ColaboradorasCS,CodeSystem Colaboradoras,"CodeSystem Colaboradoras","ValueSet/colaboradorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/comunidadesAutonomasCS,1.0.0,draft,,ComunidadesAutonomasCS,CodeSystem Comunidades Autónomas,"CodeSystem Comunidades Autónomas","ValueSet/comunidadesAutonomasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/estadoIndefCS,1.0.0,draft,,EstadoIndefCS,Estado comprobación Fecha Defunción,"Estado comprobación Fecha Defunción","ValueSet/estadoIndefVS"
http://sns.gob.es/fhir/tsi/CodeSystem/estadosCS,1.0.0,draft,,EstadosCS,CodeSystem Estado Paciente,"CodeSystem Estado Paciente","ValueSet/estadosVS"
http://sns.gob.es/fhir/tsi/CodeSystem/gestorasCS,1.0.0,draft,,GestorasCS,CodeSystem Gestoras,"CodeSystem Gestoras","ValueSet/gestorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/indicadorFarmaciaCS,1.0.0,draft,,IndicadorFarmaciaCS,CodeSystem Indicador Farmacia,"CodeSystem Indicador Farmacia","ValueSet/indicadorFarmaciaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/municipiosCS,1.0.0,draft,,MunicipiosCS,CodeSystem Municipios,"CodeSystem Municipios","ValueSet/municipiosVS"
http://sns.gob.es/fhir/tsi/CodeSystem/nacionalidadesCS,1.0.0,draft,,NacionalidadesCS,CodeSystem Nacionalidades,"CodeSystem Nacionalidades","ValueSet/nacionalidadesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/paisesCS,1.0.0,draft,,PaisesCS,CodeSystem Paises,"CodeSystem Paises","ValueSet/paisesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/proveedoresCS,1.0.0,draft,,ProveedoresCS,CodeSystem Proveedores,"CodeSystem Proveedores","ValueSet/proveedoresVS"
http://sns.gob.es/fhir/tsi/CodeSystem/provinciasCS,1.0.0,draft,,ProvinciasCS,CodeSystem Provincias,"CodeSystem Provincias","ValueSet/provinciasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/situacionesCS,1.0.0,draft,,SituacionesCS,CodeSystem Situaciones,"CodeSystem Situaciones","ValueSet/situacionesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/subIndicadorFarmaciaCS,1.0.0,draft,,SubIndicadorFarmaciaCS,CodeSystem Subindicador Farmacia,"CodeSystem SubIndicador Farmacia","ValueSet/subIndicadorFarmaciaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/tipoViaCS,1.0.0,draft,,TipoViaCS,CodeSystem Tipo de Via,"CodeSystem Tipo de Via","ValueSet/tipoViaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/titulosCS,1.0.0,draft,,TitulosCS,CodeSystem Titulos,"CodeSystem Titulos","ValueSet/titulosVS"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
